transaction_id,user_id,user_name,email,phone_number,transaction_date,merchant,vendor_name,channel,items_count,original_amount,discount_amount,final_amount,coupon_code,abuse
tx_0100,user_099,John Davis_50,john.davis_50@test.com,+27667834855,2025-07-22,StoreC,StoreD,in-store,3,53.6,5.03,48.57,WELCOME,0
tx_0018,user_061,Carol Johnson,fraud33@example.com,+27616726926,2025-07-05,StoreA,FraudMart,online,4,215.85,185.45,30.4,FREESHIP,1
tx_0026,user_093,David Brown,fraud69@mail.com,+27626445607,2025-07-13,StoreD,FakeShop,online,4,200.85,129.97,70.88,WELCOME,1
tx_0078,user_028,Henry Smith_72,henry.smith_72@example.com,+27615015458,2025-07-06,StoreE,StoreB,online,1,240.3,59.29,181.01,SAVE20,0
tx_0093,user_072,Grace Davis_57,grace.davis_57@mail.com,+27637135391,2025-07-26,StoreE,StoreC,in-store,1,70.52,9.71,60.81,FREESHIP,0
tx_0001,user_053,Eva Johnson,fraud78@mail.com,+27696603781,2025-07-16,StoreD,FraudMart,in-store,5,55.64,52.94,2.7,WELCOME,1
tx_0032,user_024,Frank Jones,fraud15@test.com,+27648884978,2025-06-26,StoreA,FraudMart,in-store,4,51.94,42.32,9.62,SAVE10,1
tx_0135,user_003,David Miller_15,david.miller_15@test.com,+27609233013,2025-07-15,StoreA,StoreE,in-store,2,225.22,52.66,172.56,SAVE10,0
tx_0127,user_051,Ivy Jones_23,ivy.jones_23@example.com,+27640603163,2025-07-10,StoreC,StoreB,online,4,298.47,17.03,281.44,FREESHIP,0
tx_0110,user_008,David Smith_40,david.smith_40@test.com,+27636553958,2025-07-15,StoreC,StoreD,online,1,192.2,31.84,160.36,HOLIDAY50,0
tx_0147,user_074,Bob Johnson_3,bob.johnson_3@example.com,+27601250299,2025-07-22,StoreE,StoreB,in-store,4,108.03,31.34,76.69,FREESHIP,0
tx_0112,user_020,Ivy Brown_38,ivy.brown_38@test.com,+27674252420,2025-06-26,StoreA,StoreA,in-store,1,247.07,43.52,203.55,FREESHIP,0
tx_0054,user_076,Eva Wilson_96,eva.wilson_96@mail.com,+27654543049,2025-07-16,StoreA,StoreA,in-store,1,167.27,38.57,128.7,WELCOME,0
tx_0043,user_037,David Wilson,fraud75@test.com,+27668064830,2025-07-05,StoreD,ScamStore,online,4,44.66,41.64,3.02,FREESHIP,1
tx_0047,user_015,Grace Davis_103,grace.davis_103@mail.com,+27603326769,2025-07-12,StoreA,StoreE,online,4,281.14,63.64,217.5,FREESHIP,0
tx_0142,user_024,Ivy Brown_8,ivy.brown_8@example.com,+27609832887,2025-07-09,StoreC,StoreC,in-store,1,42.42,6.85,35.57,FREESHIP,0
tx_0017,user_045,Ivy Miller,fraud34@example.com,+27616726926,2025-07-19,StoreA,FakeShop,online,1,285.89,177.04,108.85,SAVE20,1
tx_0114,user_037,Carol Wilson_36,carol.wilson_36@example.com,+27614366125,2025-07-14,StoreD,StoreA,in-store,5,34.66,4.59,30.07,FREESHIP,0
tx_0120,user_095,Eva Wilson_30,eva.wilson_30@example.com,+27640181935,2025-06-28,StoreE,StoreB,online,3,265.39,52.9,212.49,HOLIDAY50,0
tx_0092,user_048,John Wilson_58,john.wilson_58@mail.com,+27605917225,2025-07-23,StoreC,StoreE,online,4,256.64,56.14,200.5,HOLIDAY50,0
tx_0081,user_004,Carol Miller_69,carol.miller_69@example.com,+27657403166,2025-07-22,StoreA,StoreB,in-store,2,184.88,21.51,163.37,SAVE10,0
tx_0002,user_079,Henry Brown,fraud77@test.com,+27683638503,2025-07-08,StoreC,FraudMart,in-store,5,253.44,203.6,49.84,FREESHIP,1
tx_0053,user_061,David Williams_97,david.williams_97@test.com,+27683303777,2025-07-04,StoreD,StoreB,in-store,2,158.69,27.86,130.83,SAVE10,0
tx_0071,user_059,Carol Wilson_79,carol.wilson_79@example.com,+27678183110,2025-07-15,StoreC,StoreD,in-store,3,50.34,2.83,47.51,SAVE20,0
tx_0069,user_062,Eva Davis_81,eva.davis_81@example.com,+27619876811,2025-06-26,StoreC,StoreB,in-store,1,151.13,36.05,115.08,SAVE10,0
tx_0010,user_070,Eva Miller,fraud77@test.com,+27648884978,2025-07-24,StoreB,ScamStore,online,2,127.25,89.56,37.69,SAVE20,1
tx_0060,user_024,John Brown_90,john.brown_90@mail.com,+27691545441,2025-07-21,StoreB,StoreB,online,5,263.84,46.02,217.82,HOLIDAY50,0
tx_0089,user_096,Bob Jones_61,bob.jones_61@test.com,+27617558317,2025-07-03,StoreC,StoreE,online,5,36.79,4.87,31.92,HOLIDAY50,0
